trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",30,0,-36.71767172372729,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",20,0,-22.94233368948708,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",30,0,-71.66659320705288,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",25,0,-11.861845607850077,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",20,0,-25.494899956831794,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",20,9,-82.71233693105162,"{0: 5, 1: 0, 2: 5, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",25,0,-59.94591084639949,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",25,0,-3.663181511771265,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-50.50355325824815,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",25,7,20.376524502884408,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",25,10,21.1016005748511,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",20,0,-3.4494565742940075,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",20,0,-58.586618583094285,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",25,0,-68.30578364908322,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",20,8,-9.975185311954018,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",20,0,-16.737852722906645,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,3,-14.325766647935609,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",25,8,17.351328279432604,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",25,6,-30.977936592286575,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,0,-3.5575169682784145,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",25,15,-31.96542133393779,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",30,19,-6.8670362651268535,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",30,0,-23.232346018219605,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,10,-57.96141101593009,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",25,12,19.0248509200759,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",25,0,12.623310650175258,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",25,2,28.3764158566737,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",30,0,-33.43458357170069,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",20,11,13.084131907258707,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.32955896107518906}",30,9,-33.56432939701939,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
112,False,"{'a': 0.01, 'e': 0.32627979462303947}",25,0,-37.90237957814432,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.3230332564222529}",30,22,4.1819128860587975,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.31981902181630384}",25,0,-24.18769292162079,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.01, 'e': 0.31663676937905316}",25,17,9.568904431961624,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,0,-17.76612215602649,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.31036694126548503}",35,9,-75.9335303685037,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 2}",1
118,False,"{'a': 0.01, 'e': 0.30727873860113125}",25,0,14.858060811364894,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.3042212640667041}",20,2,-46.45873159665771,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.30119421191220214}",25,10,21.861203332094842,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.2981972794298874}",30,17,-23.835836950203017,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,8,19.323758327628333,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-16.729327112994664,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,12,-21.14090434477375,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,13,13.201084576965428,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,15,-23.724355231624504,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,5,-12.147876162941616,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",30,22,6.659488125785078,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,0,30.178694242515377,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
